名字,性别,时间,评论,点赞数,回复数
まどかとほむら,保密,2019-06-28 09:39:42,为什么到9.8了。。我开始怀疑这个站的人均年龄了。。,1,2
Daixi_,男,2019-06-28 09:37:35,av57010142 还有来听歌的吗！！单品！高质！满足你！[滑稽][滑稽],1,0
不知花中意,男,2019-06-28 09:25:37,这是什么神仙？,0,0
萨湿gay,保密,2019-06-28 09:11:00,loneliest girl流泪的人都是孤独寂寞的人，心疼。。。,0,0
咋又吐了,保密,2019-06-28 09:10:50,还行吧…普普通通。也算是展示了渡边老贼的品味和骨头社的技术力还有网飞雄厚的资源…只能说当年的那个渡边是回不来了。,0,1
加依嘉祖儿,男,2019-06-28 09:08:56,哪里能听到这两首歌得完整版,0,1
逍涯,男,2019-06-28 09:07:24,给老子出专辑骨头社aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,0
逍涯,男,2019-06-28 09:06:07,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa老子爆哭，骨头社牛逼,0,0
-靑薔薇の剣-,男,2019-06-28 08:56:02,12集结束av57053610,1,0
春泥花花幼稚园,保密,2019-06-28 08:54:33,告诉我安吉拉和塔奥的cp名，我要开磕了！,1,0
纠结在配色上,女,2019-06-28 08:49:37,？？什么时候掉到9.8了我的0.1神作呢？？？？,1,0
六神怪蜀黍,男,2019-06-28 08:26:04,刷一星的都是弟弟,1,0
蓝惬,保密,2019-06-28 08:19:04,"转发评论一条我认为说的很好的评论  介意的话会删掉 ————        安吉拉成熟的台风和自信大气的风格让她身上早早就显现出了天后的风范 她每次表演时全情投入毫无迷惘 但在结束时的刹那也都会露出些许不安和孤寂地望向台下 当欢呼和掌声席卷现场时 笑容会再度浮现在她的脸上 这次在塔奥全程的注目礼 她抛开了最后一点不安 火力全开状态MAX的她比往日更加耀眼 安吉拉今后的成功几乎是没有疑问的 大众流行的风格加上她充满张力的呈现就是王道的主流 她的高傲会鞭策着她一直往前 越飞越高 塔奥和她的搭档可以填补上她内心最后一点的空虚和不安 那就是天高任鸟飞 以后在发布会上定义“什么是国际巨星啊？（战术后仰）”只是早晚的事
至于C＆T 我不知道 她们的音乐风格是最简单和单纯的好听 在那个AI精准定位人性需求 音乐制作流水线化的时代   她们宛如逆潮而上的静水深流 她们因为自己的单纯独树一帜 却也因为自己的单纯容易迷惘 受到伤害 这次找回自己 比什么都强 C&amp;T若不被时代改变 就注定会影响这个时代的审美 虽然这事本不好说 但按照这个动画的基调将来会怎样就不用多说了8
凯特琳真的很严格 但也真的很有智慧",7,0
XFYMT,保密,2019-06-28 08:17:55,罗迪罗迪罗迪,1,0
名字,性别,时间,评论,点赞数,回复数
Tsubamekaesi,保密,2019-06-28 08:11:46,前面11集有10集开头都说了CT在火星会有“奇迹的7分钟”，然后有人认为完结了。。。。。。这怎么交流,1,1
来自外大的老JRs前线的ob法则,保密,2019-06-28 08:05:33,感动得不要不要的,0,0
米克MMMiKe,男,2019-06-28 07:58:53,热评2里一群人鱼姐妹疯狂发言,0,0
DYGREAT,男,2019-06-28 07:58:37,这几集讲道理 一般啊... 基本能猜到剧情,1,0
我的脑残粉,男,2019-06-28 07:58:24,FFF团原教旨主义抬头！！！全世界FFF团团员团结起来！！！,0,0
饕餮没有胃口,保密,2019-06-28 07:54:11,我爱安吉拉！！,1,0
a咚咚咚咚咚,保密,2019-06-28 07:52:03,罗迪好惨一男的(=・ω・=),0,0
清祗__,保密,2019-06-28 07:41:39,听到《The loneliness girl》时，泪目了，触及真心，每个人都是孤独的，但是孤独只是生活的一部分。在漆黑的夜里，望着遥远的星辰，不忘初心。像她们一样，坚守内心的永恒,1,0
NoelleStyles,女,2019-06-28 07:31:43,"之前一直觉得音乐番，剧情没有大问题就好，但是这一集剧情真的吹爆，合情合理啊，也没有强行让安吉拉输(ღ˘⌣˘ღ)
啥也不说了，下辈子还是骨头社迷妹

另扛走罗迪",1,1
海原麻吕,女,2019-06-28 07:16:25,那么CD在哪买，淘宝靠谱吗[2233娘_疑问],0,2
海原麻吕,女,2019-06-28 07:12:45,那么CD在哪买，淘宝靠谱吗,0,0
觅风本心,女,2019-06-28 07:02:20,竟然是半年番，太快乐了！众筹OST！,0,0
风情阔,男,2019-06-28 07:00:14,每天早上起来补一遍12集,0,0
守望村口的小饼干,女,2019-06-28 06:46:51,今天的阿伟又死了[滑稽],1,0
lr19850,保密,2019-06-28 06:34:14,太假了吧……上集还在两人还在担心比不过安吉拉，结果12集出来两人连排练都不用排练，照样和安吉拉平分秋色。那上集你们两担心个毛啊？,1,2
今天橙子也要好好加油,女,2019-06-28 06:26:22,奇迹七分钟还没来呢,1,0
ZIGrapes,保密,2019-06-28 05:44:19,听哭我了[大哭][大哭]  她们两个人的这首歌真的好好听 好有感触[大哭][大哭],0,0
ZIGrapes,保密,2019-06-28 05:31:58,爱了爱了爱了爱了爱了爱了[大哭][大哭][大哭],0,0
寒波,男,2019-06-28 05:06:45,顶部的红字歌词错的有点多了...,0,0
半月的夜空_,保密,2019-06-28 04:26:12,这也太神仙了吧，我特么吹爆CT,0,0
名字,性别,时间,评论,点赞数,回复数
我世为宅,男,2019-06-28 04:23:40,直击心灵的一集aaaa………………不行让我喘喘气哈～啊啊啊啊，两首完整的歌，用心去体会..完全不懂的外行人都能感觉到什么TAT骨头社真的nb！！！感谢制作组为我们献上神一样的番剧，期待下半段剧情如何展开，和更加震撼心灵的歌曲（不说了我去再听几遍）,0,0
浅白の过去,男,2019-06-28 04:20:53,看个音乐番还要弄饭圈的粉丝行为，有的人可真行[小电视_困惑]好好听歌不行吗？,1,0
蠢蛋X小分队,男,2019-06-28 04:12:54,只希望这集之后评分重回9.9，毕竟剧情如果丰富了，那就出不来2首神曲了,2,0
She在半夜不睡觉,保密,2019-06-28 03:34:48,十二点过后专门从油管等国内外各大平台听了三十几首cover 有的唱的好 总缺了灵魂  把原音源听了十几遍  闭眼满是享受 都没哭 但是刚刚又看了一遍视频怎么就又哭了 真奇怪,2,0
慕锦,保密,2019-06-28 03:26:19,安吉拉的歌给我惊讶和欣喜，C&amp;T的歌唱进了我心里[2233娘_第一],0,0
白阳耶鲁,男,2019-06-28 03:25:37,安吉拉实至名归,0,0
02のDarlingXX,男,2019-06-28 03:16:15,"FFF团新团歌！？hhhhh～
本团长接受提议～hhhhh～",2,0
秒速五厘米01,男,2019-06-28 03:09:26,没准后半季会等到10月份啊！想想骨头社的跳票战线。。。。。。[大哭],0,0
小丑-古月衣,男,2019-06-28 03:01:32,罗迪好惨一男的,0,0
丨殇韵丶,男,2019-06-28 02:59:29,给你们1天给我整一份前12集CT和安吉拉的歌单，明天没见到我就捶死在座的所有人，记住，是所有人。,0,3
嘿呦喂小明,男,2019-06-28 02:55:47,为什么有人因为剧情扣分呢，，，这明明就是音乐番，你喝着茶却说咖啡味不够浓,3,6
五条派鹤丸国永,保密,2019-06-28 02:55:38,这两首歌真的太好听了 两首一起让我完全把十一集的不愉快忘记了ttt,0,0
丘比怎样做好吃,保密,2019-06-28 02:50:43,安吉拉人设完美，太棒了,0,0
墨西哥胡椒,男,2019-06-28 02:42:44,NANA唱歌的时候自有一种霸气震慑全场，反观,0,1
_流羽_,保密,2019-06-28 02:40:06,lonelys girl响起的那一瞬间，眼泪情不自禁的流了下来，太厉害了,0,0
篱汐Q,保密,2019-06-28 02:36:12,"12级结束了，选秀也结束了，我就来聊聊其他人没聊过的——聊聊评委凯特琳娜吧！
凯特琳娜的点评其实都挺实在的。
火焰兄弟虽然炸裂，但落后于时代，OG斗牛犬存在欺诈行为就不说了，GGK的风格太过于单一，第一次听惊艳，再听观感度就会下降，再加上塔奥看穿一切，临时让安吉拉换了歌。
这些都没什么好说的，争议最大的彼特和C&amp;T那一场，其实她说的理由我是可以接受的：
彼特基本已经定型，C&amp;T还有很大的空间。
这一点看起来有点无稽之谈，但实际上对于选秀来讲是很重要的点。
有时候两个人比赛，一个唱功更好，一个嗓音更好，评委也会倾向于选嗓音更好的，因为唱功可以练，嗓音绝对是天赋。
C&amp;T和彼特的情况则是：
彼特的路线其实和安吉拉一样都是流行路线，而且彼特并没有比安吉拉惊艳，所以站在评委的角度来看他就并不是特别突出了。
而C&amp;T走原创路线，并且风格温馨感人，很容易被大众接受，又跟其他人不太一样，有成为黑马的潜质的。
评委不仅仅只是选哪个更有实力，要考虑的东西蛮多（不仅唱歌，其他事情需要你评断的时候，你就会明白没那么简单了，这一点我深有体会），如果是我，我也会选C&amp;T的。
至于西贝尔和安吉拉……只能说西贝尔输得不冤。
安吉拉实在是太强了，几乎没有什么弱点，我甚至认为就算是最后一场C&amp;T跟安吉拉真正比赛，安吉拉还是会赢。",6,3
杜兰nnnnnnn,保密,2019-06-28 02:34:25,没OPED，下周更新稳了,1,0
小吃吃吃货,女,2019-06-28 02:33:34,目前最喜欢的三首：unbreakable，light a fire，the loneliest girl,2,1
Yukihimeゆき姬,保密,2019-06-28 02:32:13,讲真弹幕说哥哥是经纪人的爱博的时候，我先是23333，然后，竟然，脑补了一天一言难尽的东西[捂脸][捂脸][捂脸],0,1
神户氯化钠,女,2019-06-28 02:31:41,这是半年番吗！！？,1,5
名字,性别,时间,评论,点赞数,回复数
呼噜呼噜Zzzz,保密,2019-06-28 02:31:40,"罗迪真的是最佳经纪人。
刚刚去看了“千与千寻”的电影，发现里面的“白龙”是罗迪的声优，入野自由配的音。
去查了一下，白龙还是入野自由的代表作。
看来他很适合配这种“暖男”角色啊~！[蛆音娘_滑稽]",3,0
dahuang888,保密,2019-06-28 02:30:54,安吉拉的歌都超喜欢怎么办[喜欢],0,0
七炭,男,2019-06-28 02:29:55,明早我起床，我要看到C＆T 9.9分[蛆音娘_滑稽],0,0
NearZhang,保密,2019-06-28 02:29:08,你只要吹C&amp;T，我们就是异父异母的亲生兄弟！！！！太好听啦！！！！！！！！！！！！[大哭],1,0
玉米面大飞龙,保密,2019-06-28 02:24:41,今夏……,0,0
白金二代,女,2019-06-28 02:22:57,啊啊啊啊啊啊！！！！！啊！！！看到两个组合都可以出道我忍不住的鼓掌微笑！！！！,1,0
北方的孤独少女,保密,2019-06-28 02:21:12,完结撒花，感谢陪伴！,1,1
绯村劍心けんしん,保密,2019-06-28 02:19:02,哇我好喜欢这集啊哈哈哈哈，安吉拉唱的超棒！！！c&amp;t唱的超感人！！！罗迪和大叔也很有趣哈哈哈哈我很满意啦[蛆音娘_卖萌][蛆音娘_卖萌],1,0
我的K在哪个窑子混,女,2019-06-28 02:17:01,连看11级！爆肝[doge],0,0
蕾米亚,男,2019-06-28 02:13:20,老哥们 在？ 可以重新回到9.9吗？ 安排下？,5,0
灌装鱼,男,2019-06-28 02:09:21,骗完眼泪结果故事才开始,0,0
勋狗狗,保密,2019-06-28 02:08:25,长使英雄泪满襟[大哭],0,0
毁灭之锤水濑祈,男,2019-06-28 02:07:02,弹幕除了结婚就不会发别的了？任何两个人有对手戏就要结婚？？？？,2,0
克蕾儿艾尔,男,2019-06-28 02:06:30,我在想为什么弹幕里的键盘侠不在评论里来喷一下呢？你们要尊重你们的职业，来喷我不要怕别人认出来。,0,0
侑四一梦,男,2019-06-28 02:06:20,着两首歌这么强，但剧情部分这么仓促，看完完全没印象。这番终究没法兼顾。,0,1
65588771915_bili,保密,2019-06-28 02:03:52,Tuesday做事情有欠考虑，快要上场了还乱跑什么？，跑就跑手机至少拿上吧，马上上场了不去幕后等待，跑回休息室还坐到沙发上拆盒子是什么鬼？你可是组合不是个人啊,0,1
羽鳥もも,女,2019-06-28 02:00:46,只有我一个人好在意tue没有给卡罗尔认真道歉吗……优柔寡断没有做好自我管理，对一个没有家的人说自己的家人不在意自己，家人来接自己又说不要，真实得要对深闺大小姐掉好感了……,0,2
凉凉jng,男,2019-06-28 01:59:14,吹爆,0,0
Iimnobody,男,2019-06-28 01:59:09,如果能把最后的歌变个奏。。。估计就没人会抓着剧情不放了。。。原封不动的放上来就比较尴尬。,0,1
冬木市长y,男,2019-06-28 01:58:43,真的好听  爱了爱了,0,0
名字,性别,时间,评论,点赞数,回复数
零韵の音,男,2019-06-28 01:58:10,吹爆啊啊啊啊啊啊啊啊啊啊啊啊啊！,0,0
三彡啊,保密,2019-06-28 01:56:30,她们找回了方向，没有迷失自己，向着心中的舞台奔跑，唱出了自己初心[芮小凸小凹_超棒](･∀･)[2233娘_耶],0,0
Simon同学-,男,2019-06-28 01:55:37,"テレビ西日本にて第12話ご覧頂きました皆様、ありがとうございました！！
7月からも物語は続きますので、引き続き応援よろしくお願いします。

来週(7/3)のオンエアは 
『「キャロル＆チューズデイ」特別編 ~ガスとロディの回想録~』
をお送りします⭐︎お楽しみに！
#キャロチュー　#CandT https://t.co/VReDvw9Loo

推特原文，下集是特比版 格斯和罗迪的回忆",0,0
DEMOYU27,保密,2019-06-28 01:54:47,啊啊啊啊to be continue,0,0
风麦麦穗,男,2019-06-28 01:53:25,可恶，大家唱歌都好好听！,0,0
Aisouuuuu,保密,2019-06-28 01:51:20,我还是喜欢安吉拉多一点，大概是我也想拥有像她一样直面孤独的勇气,1,0
楠南OnePiece,保密,2019-06-28 01:49:51,op和ed被等价交换了还是咋的2333,0,0
